Date,TLEVISACPO.MX,
ene-20,43.71, 
ene-20,43.4,
ene-20,43.34,
ene-20,43.32,
ene-20,43.2,
ene-20,42.27,
ene-20,42.21,
ene-20,42.2,
ene-20,42.17,
ene-20,42.1,
ene-20,41.95,
ene-20,41.85,
ene-20,41.53,
ene-20,41.48,
ene-20,41.43,
ene-20,41.11,
ene-20,40.93,
ene-20,40.81,
ene-20,40.76,
ene-20,40.67,
ene-20,39.37,
ene-20,39.15,
feb-20,40.16,
feb-20,39.97,
feb-20,39.87,
feb-20,39.67,
feb-20,39.56,
feb-20,39.48,
feb-20,38.93,
feb-20,38.85,
feb-20,38.78,
feb-20,38.66,
feb-20,38.46,
feb-20,38.2,
feb-20,37.66,
feb-20,37.34,
feb-20,37.24,
feb-20,37.23,
feb-20,36.95,
feb-20,35.71,
feb-20,34.36,
mar-20,35.02,
mar-20,33.68,
mar-20,33.39,
mar-20,33.35,
mar-20,31.93,
mar-20,30.17,
mar-20,29.43,
mar-20,29.01,
mar-20,27.5,
mar-20,27.25,
mar-20,27.22,
mar-20,26.74,
mar-20,26.34,
mar-20,25.61,
mar-20,25.52,
mar-20,25.47,
mar-20,25.33,
mar-20,25.12,
mar-20,24.65,
mar-20,23.9,
mar-20,23.57,
abr-20,25.9,
abr-20,25.22,
abr-20,25.22,
abr-20,24.75,
abr-20,24.4,
abr-20,24.38,
abr-20,24.38,
abr-20,24.27,
abr-20,24.18,
abr-20,24.07,
abr-20,24.04,
abr-20,23.89,
abr-20,23.82,
abr-20,23.75,
abr-20,23.73,
abr-20,23.52,
abr-20,23.4,
abr-20,23.34,
abr-20,23.08,
abr-20,22.48,
may-20,24.51,
may-20,24.49,
may-20,24.35,
may-20,24.22,
may-20,24.21,
may-20,23.59,
may-20,23.45,
may-20,23.4,
may-20,23.27,
may-20,23.23,
may-20,23.16,
may-20,22.95,
may-20,22.84,
may-20,22.56,
may-20,22.18,
may-20,21.88,
may-20,21.86,
may-20,21.72,
may-20,21.72,
may-20,21.55,
jun-20,29.53,
jun-20,28,
jun-20,27.31,
jun-20,26.99,
jun-20,26.32,
jun-20,25.65,
jun-20,25.38,
jun-20,25.35,
jun-20,25.13,
jun-20,24.5,
jun-20,24.48,
jun-20,24.39,
jun-20,23.96,
jun-20,23.92,
jun-20,23.73,
jun-20,23.7,
jun-20,23.47,
jun-20,23.4,
jun-20,22.74,
jun-20,22.67,
jun-20,22.51,
jun-20,22.18,
jul-20,23.66,
jul-20,23.63,
jul-20,23.56,
jul-20,23.41,
jul-20,23.23,
jul-20,23.02,
jul-20,22.69,
jul-20,22.65,
jul-20,22.56,
jul-20,22.55,
jul-20,22.53,
jul-20,22.47,
jul-20,22.4,
jul-20,22.4,
jul-20,22.33,
jul-20,22.21,
jul-20,22.06,
jul-20,22.04,
jul-20,22.01,
jul-20,21.94,
jul-20,21.88,
jul-20,21.73,
jul-20,21.65,
ago-20,28.62,
ago-20,28.47,
ago-20,28.3,
ago-20,28.21,
ago-20,27.88,
ago-20,27.85,
ago-20,27.75,
ago-20,27.71,
ago-20,27.48,
ago-20,27.28,
ago-20,26.97,
ago-20,26.51,
ago-20,26.26,
ago-20,26.17,
ago-20,26.06,
ago-20,25.66,
ago-20,25.64,
ago-20,25.51,
ago-20,25.21,
ago-20,25.1,
ago-20,23.86,
sep-20,27.02,
sep-20,26.87,
sep-20,26.73,
sep-20,26.57,
sep-20,26.37,
sep-20,26.26,
sep-20,26.12,
sep-20,25.94,
sep-20,25.76,
sep-20,25.75,
sep-20,25.69,
sep-20,25.66,
sep-20,25.57,
sep-20,25.51,
sep-20,25.49,
sep-20,25.48,
sep-20,25.36,
sep-20,25.27,
sep-20,25.2,
sep-20,25.1,
sep-20,24.41,
oct-20,29.31,
oct-20,29.06,
oct-20,28.71,
oct-20,28.59,
oct-20,28.53,
oct-20,28.53,
oct-20,28.39,
oct-20,28.24,
oct-20,28.21,
oct-20,28.21,
oct-20,27.78,
oct-20,27.68,
oct-20,27.67,
oct-20,27.48,
oct-20,26.77,
oct-20,26.51,
oct-20,25.94,
oct-20,25.9,
oct-20,25.63,
oct-20,25.49,
oct-20,25.38,
oct-20,25.03,
nov-20,31.57,
nov-20,31.46,
nov-20,31.17,
nov-20,30.97,
nov-20,30.92,
nov-20,30.92,
nov-20,30.85,
nov-20,30.74,
nov-20,30.55,
nov-20,30.43,
nov-20,30.38,
nov-20,30.25,
nov-20,30.1,
nov-20,29.97,
nov-20,29.24,
nov-20,27.97,
nov-20,27.91,
nov-20,26.59,
nov-20,26.31,
dic-20,31.6,
dic-20,31.4,
dic-20,31.09,
dic-20,31.07,
dic-20,31,
dic-20,30.98,
dic-20,30.94,
dic-20,30.79,
dic-20,30.59,
dic-20,30.58,
dic-20,30.57,
dic-20,30.54,
dic-20,30.54,
dic-20,30.51,
dic-20,30.49,
dic-20,30.21,
dic-20,29.75,
dic-20,29.74,
dic-20,29.67,
dic-20,29.39,
dic-20,29.34,
dic-20,28.96,
