Ranking,Estreno,Pelicula,Presupuesto,TaquillaInternacional,TaquillaEEUU
1,12/18/2009,Avatar,"$469,625,000","$3,077,483,239","$840,954,122"
2,12/18/2015,Star Wars Ep. VII: The Force Awakens,"$338,130,000","$2,275,748,157","$1,035,742,355"
3,5/24/2007,Pirates of the Caribbean: At Worldâ€™s End,"$331,500,000","$1,065,013,109","$342,150,918"
4,6/11/2015,Spectre,"$331,500,000","$972,376,949","$221,238,021"
5,7/20/2012,The Dark Knight Rises,"$303,875,000","$1,198,793,202","$495,543,253"
6,2/7/2013,The Lone Ranger,"$303,875,000","$287,419,338","$98,748,493"
7,9/3/2012,John Carter,"$303,875,000","$312,597,051","$80,786,826"
8,11/24/2010,Tangled,"$287,300,000","$648,437,001","$222,064,880"
9,4/5/2007,Spider-Man 3,"$285,090,000","$984,818,104","$372,128,478"
10,1/5/2015,Avengers: Age of Ultron,"$276,250,000","$1,552,832,102","$507,559,509"
11,6/5/2016,Captain America: Civil War,"$276,250,000","$1,273,129,464","$451,251,511"
12,3/25/2016,Batman v Superman: Dawn of Justice,"$276,250,000","$959,707,686","$365,305,695"
13,12/14/2012,The Hobbit: An Unexpected Journey,"$276,250,000","$1,124,246,594","$335,055,285"
14,7/15/2009,Harry Potter and the Half-Blood Prince,"$276,250,000","$1,033,688,261","$333,900,441"
15,12/13/2013,The Hobbit: The Desolation of Smaug,"$276,250,000","$1,061,637,540","$285,696,901"
16,12/17/2014,The Hobbit: The Battle of the Five Armies,"$276,250,000","$1,055,837,170","$282,106,359"
17,5/20/2011,Pirates of the Caribbean: On Stranger Tides,"$276,250,000","$1,155,929,131","$266,563,612"
18,4/14/2017,The Fate of the Furious,"$276,250,000","$1,367,932,981","$249,646,162"
19,6/28/2006,Superman Returns,"$256,360,000","$413,532,335","$221,288,694"
20,5/26/2017,Pirates of the Caribbean: Dead Men Tell No Tales,"$254,150,000","$857,870,197","$189,129,389"
21,11/14/2008,Quantum of Solace,"$254,150,000","$654,086,008","$187,284,219"
22,4/5/2012,The Avengers,"$248,625,000","$1,679,708,665","$689,210,057"
23,7/7/2006,Pirates of the Caribbean: Dead Manâ€™s Chest,"$248,625,000","$1,178,648,269","$468,094,159"
24,6/14/2013,Man of Steel,"$248,625,000","$738,440,067","$321,832,313"
25,5/16/2008,The Chronicles of Narnia: Prince Caspian,"$248,625,000","$461,349,927","$156,602,211"
26,3/7/2012,The Amazing Spider-Man,"$243,100,000","$837,809,796","$289,748,267"
27,6/21/2017,Transformers: The Last Knight,"$239,785,000","$628,916,863","$142,498,067"
28,12/6/2015,Jurassic World,"$237,575,000","$1,847,915,094","$721,187,515"
29,5/25/2012,Men in Black 3,"$237,575,000","$723,200,297","$197,957,680"
30,6/24/2009,Transformers: Revenge of the Fallen,"$232,050,000","$924,730,701","$444,647,264"
31,6/27/2014,Transformers: Age of Extinction,"$232,050,000","$1,220,459,997","$271,401,621"
32,5/26/2006,X-Men: The Last Stand,"$232,050,000","$507,799,020","$259,153,323"
33,5/14/2010,Robin Hood,"$232,050,000","$356,221,963","$116,405,162"
34,5/18/2012,Battleship,"$230,945,000","$337,403,490","$72,133,789"
35,12/14/2005,King Kong,"$228,735,000","$608,569,412","$241,148,530"
36,7/12/2007,The Golden Compass,"$226,525,000","$405,990,395","$77,523,723"
37,12/19/1997,Titanic,"$221,000,000","$2,440,408,740","$728,346,658"
38,12/16/2016,Rogue One: A Star Wars Story,"$221,000,000","$1,161,815,224","$588,471,041"
39,6/17/2016,Finding Dory,"$221,000,000","$1,130,452,378","$537,735,905"
40,6/18/2010,Toy Story 3,"$221,000,000","$1,182,630,561","$458,904,096"
41,3/5/2013,Iron Man 3,"$221,000,000","$1,343,555,387","$452,255,475"
42,5/5/2017,Guardians of the Galaxy Vol 2,"$221,000,000","$948,995,668","$428,827,946"
